recipe,style,IBU,SRM,OG,FG,Mash,flaked,light_adjunct,dark_adjunct,Base,munich_8,crystal_50,crystal_80,black,brown,chocolate,crystal_150,roasted_barley,special,candi_180,carafa2,aromatic,total
byo_porter,0,35,50,58,14,153,,3,0.25,6,2,,1,0.25,,,,,,,,,9.25
gf_porter,0,35,,63,16,153,,1,3.5,9,,1,,,3,0.5,,,,,,,13.5
bab_porter,0,40,,,,153,,3,1.5,10,2,1,,0.5,,1,,,,,,,14.5
bs_porter,0,32.6,27.8,45,15,,,1,0.75,7,0.25,0.75,,0.25,,0.5,,,,,,,8.75
la_porter,0,269,35.7,65,,152,,0.5,1.76,10,,,0.5,,,0.63,1,0.13,,,,,12.26
pliers_porter,0,30,,53,12,152,,1,2,8,,1,,,1,1,,,,,,,11
aha_porter,0,37,35.6,69,12,156,,1.5,2.5,26,,1.5,,,,2.5,,,,,,,30
jamil_porter,0,34.1,35.7,65,,152,,3,1.25,11.5,1.5,1.5,,0.5,,0.75,,,,,,,15.75
aab_stout,1,35,,60,,,2,0.5,0.5,9,,0.5,,,,0.5,,,,,,,10
byo_stout,1,73,48,72,17,154,,0.683125,1.58375,13.47,,0.683125,,0.90375,,0.68,,,,,,,15.736875
mf_stout,1,41.9,40.9,60,,154,2.25,0.88,1.75,7.5,0.5,,0.38,,,0.75,,1,,,,,10.13
reddit_stout,1,55,,,,,0.75,12.5,2,8.25,,,12.5,,,1.25,,0.75,,,,,22.75
hbt_stout,1,62.8,31.7,60,10,152,1.125,0.5,1.38125,10.25,,0.5,,,,1,,0.38125,,,,,12.13125
trousers_stout,1,70,,72,18,154,,0.55,1.3,11.5,,0.55,,,,0.55,,0.75,,,0.2,,13.55
hba_stout,1,34,45,48,16,155,0.75,0.5,1.75,8,,,,0.5,,0.5,,0.75,,,,0.5,10.25
bs_stout,1,48.3,42.5,58,14,154,1.1,1,1.1,9.35,,,1,,,0.66,,0.44,,,,,11.45
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0
